"		lfd. Nummer";Veroeffentlichungs-Nummer;Anmeldedatum;Erfinder;Anmelder/Inhaber;Titel;Zusammenfassung;Länderkürzel;Land;Prozessstand;Anmelderländerkürzel;Anmelderland
148;EP000003629274A1;25.09.2018;POPESCU STEFAN, DE;SIEMENS HEALTHCARE GMBH, DE; [DE] INTELLIGENTE VERTRAGSBASIERTE BESTELLUNG VON MEDIZINISCHEN VERFAHREN  [EN] SMART CONTRACT BASED ORDERING OF MEDICAL PROCEDURES  [FR] COMMANDE DE PROCÉDURES MÉDICALES BASÉE SUR UN CONTRAT INTELLIGENT; [EN]  The invention relates to a computer-implemented method and a system for providing an offer dataset, comprising receiving a procedure specification related to a medical procedure from a payer entity, wherein the procedure specification comprises a procedure code of the medical procedure. The method furthermore comprises identifying a requested medical apparatus capable for executing the medical procedure based on the procedure code. The method furthermore comprises determining a procedure-specific technical parameter of the medical apparatus based on the medical procedure and/or based on the procedure code. The method furthermore comprises determining the offer dataset based on the procedure-specific technical parameter, wherein the offer dataset is an offer dataset for the medical procedure, and wherein the offer dataset comprises a smart contract. The method furthermore comprises providing the offer dataset to the payer entity, comprising documenting the offer dataset within a ...;EP;Europa;A;DE;Deutschland
149;EP000003629212A1;27.06.2019;"POORNACHANDRAN RAJESH, US; SMITH NED M, US";INTEL CORP, US; [DE] SICHERE EDGE-CLOUD-FUNKTION ALS DIENSTLEISTUNG  [EN] SECURE EDGE-CLOUD FUNCTION AS A SERVICE  [FR] FONCTION SÉCURISÉE DE NUAGE EN PÉRIPHÉRIE EN TANT QUE SERVICE; [EN]  System and techniques for secure edge-cloud function-as-a-service (FaaS) are described herein. A FaaS node may receive a request to execute a function. The FaaS node executes the function and enters a result of the function execution into a blockchain. Here, the blockchain is accessible to a plurality of FaaS architectural nodes. ;EP;Europa;A;US;USA
150;EP000003627431A1;08.08.2018;"DING HAIYANG, CN; HU RUIFENG, CN; JIANG FEIHU, CN; JIANG YAOGUO, CN";HUAWEI TECH CO LTD, CN; [DE] VERFAHREN UND VORRICHTUNG FÜR CROSS-CHAIN-TRADING  [EN] CROSS-CHAIN TRADING METHOD AND APPARATUS  [FR] PROCÉDÉ ET APPAREIL DE TRADING CROSS-CHAÎNES; [EN]  This application discloses a cross-chain transaction method and apparatus. In the method, for any node on a first blockchain of blockchains on which a plurality of associated transactions occur, after receiving an association transaction sent by a consensus node, the node needs to determine, based on an identifier of an anchor transaction included in the association transaction, whether the anchor transaction is a valid transaction, and if the anchor transaction is a valid transaction, writes a transaction that occurs in the first blockchain into the first blockchain based on identifiers of the blockchains on which the plurality of transactions occur, to ensure that the plurality of associated transactions on the plurality of blockchains are successfully submitted simultaneously, and effectively avoid problems in the prior art that a plurality of transactions fail to be submitted simultaneously and a successful transaction may be irrevocable. In addition, because the plurality ...;EP;Europa;A;CN;China
151;EP000003624026A1;02.09.2019;BERTIN JEREMY GEORGES, DE;PROCTER & GAMBLE, US; [DE] SYSTEME UND VERFAHREN ZUR DEZENTRALEN PRODUKTIONSPLANUNG UND -STEUERUNG IN DER FERTIGUNG  [EN] SYSTEMS AND METHODS FOR DECENTRALIZED MANUFACTURING PRODUCTION PLANNING AND CONTROL  [FR] SYSTÈMES ...; [EN]  A method of end-to-end supply chain management is provided. Industrial equipment, among other entities, can be nodes on a decentralized industrial control network. A blockchain database can be implemented on a distributed ledger. Nodes on the decentralized industrial control network can autonomously participate in the manufacturing process to produce products according to manufacturing instructions. ;EP;Europa;A;US;USA
152;EP000003621270A1;28.02.2019;SHARMA ANUJ, IN;SHARMA ANUJ, IN; [DE] BLOCKWORLD-PROJEKT  [EN] THE BLOCKWORLD PROJECT  [FR] PROJET BLOCKWORLD;" [EN]  A method and blockworld application platform system based on a block chain technology and created using blockchain technology and related software coding, programming languages, android technology, iOS technology, azure cloud platform; the block world platform characterized in that the blockworld platform is incorporating seven sub-platforms, namely BlockVOTE, BlockBOARD, BlockDRIVE, BlockAML, BlockLOAN, BlockPASSPORT and BlockVISA; and wherein the blockworld platform is supportive on any platforms/modes such as mobile phones, smart phones, tablets, computers, kiosks, digitals, screens, Virtual Reality supportive, Augmented Reality supportive and Mixed Reality supportive; and wherein the blockworld platform incorporates block chain based encrypted digital verifications and transactions with Artificial Intelligence Instant Analytics; the said blockworld platform is accessible anytime, anywhere and by any user. ";EP;Europa;A;IN;Indien
153;EP000003621015A1;06.09.2019;PERULLO JERRY, US;INTERCONTINENTAL EXCHANGE HOLDINGS INC, US; [DE] MEHRFACHSIGNATURVERIFIZIERUNGSNETZWERK  [EN] MULTI-SIGNATURE VERIFICATION NETWORK  [FR] RÉSEAU DE VÉRIFICATION MULTI-SIGNATURES; [EN]  Systems and methods for authorizing a blockchain transaction. A verification network receives a transaction request for the blockchain transaction from a payer device including a first signature generated by a first private key associated with a payer. The verification network broadcasts a verification request to verification system(s) which assess pre-agreed threshold parameters. If the parameter(s) are satisfied, at least one verification system perfects the transaction by generating a second signature using a second private key, and broadcasts the transaction to the blockchain network. If the parameter(s) are not satisfied, verification offer(s) from among the verification system(s) including the second signature(s) are used to prompt the payer device to confirm the blockchain transaction by selecting at least one of the offer(s). The verification network receives selected offer(s) from the payer device and broadcasts the transaction to the blockchain network, in accordance ...;EP;Europa;A;US;USA
154;EP000003621013A1;19.08.2019;"ARAI YUSUKE, JP; HIMURA YOSUKE, JP; SATO TATSUYA, JP";HITACHI LTD, JP; [DE] ELEKTRONISCHE TRANSAKTIONSVORRICHTUNG, ELEKTRONISCHE TRANSAKTIONSVERIFIZIERUNGSVORRICHTUNG, ELEKTRONISCHES TRANSAKTIONSVERFAHREN UND DATENTRÄGER  [EN] ELECTRONIC TRANSACTION DEVICE, ELECTRONIC ...;" [EN]  According to one embodiment, an electronic transaction device includes: a relationship map storage unit that stores a relationship map (a participant relationship map) which is information indicating a relationship between a plurality of parties involved in a predetermined transaction; a policy requirement storage unit that stores policy requirements, which are requirements for the parties involved in the transaction, necessary for the closing of the transaction; an agreement policy calculation unit that generates an agreement policy which is a condition related to an approver of a transaction indicated by transaction data holding a predetermined transaction content, based upon the relationship map and the policy requirements; and an approval request transmission unit that transmits a predetermined approval request to a predetermined information processing device associated with an approver of a transaction specified based upon the generated agreement policy. ";EP;Europa;A;JP;Japan
155;EP000003618398A1;15.08.2019;"BORNE-PONS HUGO, IE; GIORDANO GIUSEPPE, IE; HAMOURMA NAIMA, IE; SCHIATTI LUCA, IE";ACCENTURE GLOBAL SOLUTIONS LTD, IE; [DE] KRYPTOLOGISCHE BLOCKKETTENINTEROPERABILITÄT  [EN] CRYPTOLOGIC BLOCKCHAIN INTEROPERATION  [FR] INTEROPÉRABILITÉ DE CHAÎNE DE BLOCS CRYPTOLOGIQUE; [EN]  Systems and methods for cryptologic blockchain interoperability are provided. A furnisher participant of a furnisher DLT network may receive a request to export or share token data stored on a furnisher blockchain that stores the token data based on a furnisher DLT. The furnisher participant may transmit, to a plurality of validator participants of the furnisher DLT network, a consensus request to certify the token data is stored on a furnisher blockchain. The furnisher participant may receive certifications that the token data is stored on the furnisher blockchain. The certifications may include digital signatures respectively signed by the validator participants. The furnisher participant may generate a multi-signature certification message. The furnisher participant may communicate the multi-signature certification message to the data receiver. The data receiver may verify the digital signatures based on public keys of the validator participants of the furnisher DLT network. ;EP;Europa;A;IE;Irland
156;EP000003617969A1;03.09.2018;"ATTWOOD SCOTT VICTORIA, CH; CROSS ALISTAIR, CH; PACHECO MIGUEL, CH";MERCURIA ENERGY GROUP HOLDING SA, CH; [DE] ROHSTOFFMANAGEMENTSYSTEM  [EN] COMMODITY MANAGEMENT SYSTEM  [FR] SYSTÈME DE GESTION DE MARCHANDISES; [EN]  A system for managing commodities, the system comprising:- at least one interface for interfacing commodity data corresponding to at least one property of a commodity,- an electronic platform configured to receive and to store commodity data received from the interface means,wherein the electronic platform is configured to store commodity data within a persistence layer, and wherein the electronic platform is distributed-ledger-technology-based. ;EP;Europa;A;CH;Schweiz
157;EP000003614328A1;23.08.2019;"ALEXA TATIANA, US; MASHOV STAN, US";SANGROVE INC, US; [DE] COMPUTERSYSTEM ZUR DURCHFÜHRUNG EINER NEUEN PRODUKTKAMPAGNE UND VERFAHREN  [EN] COMPUTER SYSTEM FOR CONDUCTING A NEW PRODUCT CAMPAIGN AND METHOD  [FR] SYSTÈME INFORMATIQUE PERMETTANT D'EFFECTUER ...; [EN]  A computer system, computer implemented method, and computer software program product provide an optimization of the disconnected and fragmented processes currently used in design-to-market industries. Brand companies and retailers, along with other entities, are provided a platform for pooling resources in getting new products to market in an efficient, technologically advanced and secure system using blockchain, smart contract, and/or distributed ledger technology. A computer system, computer implemented method, and computer software program product provide a secure platform for the announcement of a new product offering, and participation by third parties in the new product offering via a computer software based platform or central controller for pooling resources in getting new products to market using electronic accounts. ;EP;Europa;A;US;USA
158;EP000003614326A1;20.08.2018;"FREY CHRISTIAN, CH; ZECHLIN OLIVER, CH";SIEMENS SCHWEIZ AG, CH; [DE] SYSTEM UND VERFAHREN ZUR KARTIERUNG EINES VIRTUELLEN GEBÄUDEMODELLS  [EN] SYSTEM AND METHOD FOR MAPPING A VIRTUAL BUILDING MODEL  [FR] SYSTÈME ET PROCÉDÉ PERMETTANT DE CARTOGRAPHIER UN MODÈLE DE ...;" [EN]  A system and method for mapping a virtual building model (10) especially for a real estate, comprising: the system is configured to use blockchain-based transactions for data acquisition and mapping of the model (110); processing devices (130, 140, 150, 160, 170, 180, 190) configured to process a data transaction message, wherein the data transaction message includes at least an identifier associated with a blockchain network and a data transaction amount; and a control device (120) configured to control the data transaction message and to store the data transaction amount. ";EP;Europa;A;CH;Schweiz
159;EP000003614325A1;18.04.2018;"HONG JAY WU, KR; SUH MOON GJU, KR; UHR JOON SUN, KR";COINPLUG INC, KR; [DE] VERFAHREN ZUR GENEHMIGUNG DER VERWENDUNG EINER KARTE DURCH VERWENDUNG EINER AUF BLOCKCHAIN-BASIERTEN TOKEN ID UND SERVER MIT VERWENDUNG DES VERFAHRENS  [EN] METHOD FOR APPROVING USE OF CARD BY ...;" [EN]  The present invention relates to a method for approving the use of a card by using a token-ID, wherein, in a state where a card token ID, identification information of a user, a push token ID, and a public key of the user are registered in a blockchain database and a blockchain transaction ID corresponding thereto is managed, when payment request information is acquired, a relay server: requests authentication of order data from a user terminal; checks whether a user signature value obtained in response to the authentication request is valid, and registers the order data in the blockchain database; and registers, in the blockchain database, approval result information which is obtained through verification of the order data by a financial server, and transmits the approval result information to at least one of a service providing terminal and the user terminal. ";EP;Europa;A;KR;Südkorea
160;EP000003614289A1;17.04.2018;"HONG JAY WU, KR; LEE JU MIN, KR; UHR JOON SUN, KR";COINPLUG INC, KR; [DE] VERFAHREN ZUR VERWALTUNG VON DOKUMENTEN AUF BLOCKCHAIN-BASIS ANHAND DER VERWENDUNG EINES UTXO-BASIERTEN PROTOKOLLS UND DOKUMENTVERWALTUNGSSERVER DAMIT  [EN] METHOD FOR MANAGING DOCUMENT ON BASIS ...;" [EN]  The present invention relates to a method for managing a document on the basis of a blockchain by using an unspent transaction output (UTXO)-based protocol, and a server using the same. Specifically, the purpose of the present invention is to manage a document, and the present invention relates to: a method for preparing a document, that is, a method for issuing a document; a method for using the prepared document, that is, a method for reading the prepared document; and a method for handling the prepared document, particularly, a method for destroying the prepared document. ";EP;Europa;A;KR;Südkorea
161;EP000003611685A1;16.08.2018;"FISCHER THOMAS, DE; HÖME STEPHAN, DE; JUNG KONSTANTIN, DE; KERSCHBAUM SVEN, DE; VOLKMANN FRANK, DE";SIEMENS AG, DE; [DE] FERTIGUNGSVERBUND ZUR FERTIGUNG EINES PRODUKTES UND VERFAHREN ZUR ABRECHNUNG VON DIENSTLEISTUNGEN ZWISCHEN INDUSTRIELLEN FERTIGUNGSMODULEN  [EN] MANUFACTURING COMPOSITE FOR PRODUCING A PRODUCT ...; [DE]  Fertigungsverbund zur Fertigung eines Produktes und Verfahren zur Abrechnung von Dienstleistungen zwischen industriellen FertigungsmodulenVerfahren zur Abrechnung von Dienstleistungen zwischen industriellen Fertigungsmodulen, wobei in einem ersten Fertigungsmodul (1) durch ein in einem Quell-Datendienst (Q) bereitgestellter Quell-Dienst (QD) von einem in einem zweiten Fertigungsmodul (2) vorhandenen Senke-Datendienst (S) in Anspruch genommen wird, mit den Schritten:der Quell-Datendienst (Q) macht seinen Quell-Dienst (QD) in einer Gruppe (10) bekannt,der Senke-Datendienst (S) fragt in der Gruppe (10) den Quell-Dienst (QD) an,wobei- der Quell-Dienst (QD) um ein Datenelement (21) erweitert wird, welches den zu zahlenden Betrag für die Inanspruchnahme des Quell-Dienstes (QD) repräsentiert, wobei das Datenelement (20) in der Gruppe (10) von dem Senke-Datendienst (S) sichtbar ist,- der Quell-Dienst (QD) mit einem Schlüssel (30) verschlüsselt wird,- der Schlüssel (30) durch einen Schlüsselserver ...;EP;Europa;A;DE;Deutschland
162;EP000003611679A1;24.07.2019;YUAN QING, HK;WORLDMONEY BLOCKCHAIN FINANCIAL CO LTD, HK; [DE] VERFAHREN UND SYSTEM ZUR AUSGABE UND VERWALTUNG EINER WÄHRUNG  [EN] METHOD AND SYSTEM FOR ISSUING AND ADMINISTRATION THE CURRENCY  [FR] PROCÉDÉ ET SYSTÈME D'ÉMISSION ET D'ADMINISTRATION DE MONNAIE;" [EN]  This invention refers to a method for issuing and administration the currency, which includes following steps, determining the current global population; determining the amount of the currency held by each person; determining the total amount of the currency issuance; everyone on the earth receives said amount of the currency held by each person according to personal properties; determining increment of the currency issuance and the number of new births every year after the first currency issuance; according to the total amount of the currency issuance, evenly distribute all existing non-ownship public resources on the earth, with each unit of the currency correspond to each unit of said public resource. The total amount of the currency issuance is linked up with the global population as well as the global wealth, thereby eliminating the unreasonable and unfair phenomenon on arbitrary printing of real currency without restraint or regulation. Meanwhile, the total amount of the ...";EP;Europa;A;HK;Hongkong
163;EP000003605946A1;23.11.2018;"KUMAR ABHINAV, DE; ROHATGI VIKAS, DE";SAP SE, DE; [DE] VERTEILTES LEDGER-BASIERTES UNTERNEHMENSRESSOURCENPLANUNGSSYSTEM  [EN] DISTRIBUTED LEDGER-BASED ENTERPRISE RESOURCE PLANNING SYSTEM  [FR] SYSTÈME DE PLANIFICATION DE RESSOURCES D'ENTREPRISE À BASE ...;" [EN]  Methods, systems, and apparatus, including computer programs encoded on a computer storage medium, employing a permissioned distributed ledger to store transaction data within an Enterprise Resource Planning (ERP) system. In one aspect, a method includes providing, to a permission management service, a request for transaction data stored to the distributed ledger, the transaction data including information regarding a transaction involving a third-party enterprise; receiving the transaction data, a transaction root hash, and verification data from the permission management service; generating a hash value for the transaction data from a cryptographic hash function; generating a local transaction root hash based on the generated hash value and the received verification data; verifying the transaction data based on comparing the local transaction root hash to the received transaction root hash; and providing the requested transaction data to a client device based on the verification ...";EP;Europa;A;DE;Deutschland
164;EP000003605445A1;18.01.2018;"ISOZU MASAAKI, JP; LAWRENSON MATTHEW, CH";SONY CORP, JP; [DE] INFORMATIONSVERARBEITUNGSVORRICHTUNG UND INFORMATIONSVERARBEITUNGSVERFAHREN  [EN] INFORMATION PROCESSING DEVICE AND INFORMATION PROCESSING METHOD  [FR] DISPOSITIF DE TRAITEMENT D'INFORMATIONS ET ...; [EN]  There is provided an information processing apparatus including a processor that determines, on the basis of a predetermined condition, a transaction between a first virtual asset granted on the basis of a learning unit being certified to a user being educated and a second virtual asset different from the first virtual asset. ;EP;Europa;A;JP;Japan
165;EP000003605425A1;22.03.2018;LI LIZHONG, CN;SHANGHAI RUIQIWEI NETWORK TECH CO LTD, CN; [DE] VERFAHREN UND VORRICHTUNG ZUR BESTIMMUNG DER TRANSAKTIONSLEGALITÄT BASIEREN AUF BLOCKCHAINS  [EN] METHOD AND DEVICE FOR DETERMINING TRANSACTION LEGALITY OF BASED ON BLOCKCHAINS  [FR] PROCÉDÉ ET ...;" [EN]  The embodiment of the invention relates to a method and device for determining transaction legitimacy based on a blockchain, comprising: determining transaction information of at least one transaction in the blockchain, wherein the transaction information of each transaction in the at least one transaction comprises account information and the number of digital currencies, the digital currencies corresponding to the transaction information that correspond to at least one identifier, and each identifier uniquely identifies a certain number of digital currencies of a one-level statistical unit; determining the number of digital currencies with the same identifier included in different pieces of transaction information corresponding to the same account according to the account information and the at least one identifier; and when the number of digital currencies with the same identifier included in different pieces of transaction information corresponding to the same account exceeds ...";EP;Europa;A;CN;China
166;EP000003605422A1;24.07.2019;"KOGURE JUN, JP; SHIMA TSUNEKAZU, JP";FUJITSU LTD, JP; [DE] TRANSAKTIONSSTEUERUNGSVORRICHTUNG, TRANSAKTIONSSTEUERUNGSVERFAHREN  [EN] TRANSACTION CONTROL DEVICE, TRANSACTION CONTROL METHOD  [FR] DISPOSITIF DE COMMANDE DE TRANSACTION, PROCÉDÉ DE COMMANDE ...; [EN]  A transaction control device includes a library unit configured to perform prediction of a first confirmation time at which first one or more transactions are confirmed in a first blockchain, and prediction of a second confirmation time at which second one or more transactions are confirmed in a second blockchain, perform, based on the predicted first confirmation time and the predicted second confirmation time, determination of an execution order of a plurality of transactions to be executed in the first blockchain and the second blockchain, and execute, based on the determined execution order, the plurality of transactions in the first blockchain and the second blockchain. ;EP;Europa;A;JP;Japan
167;EP000003595240A1;13.07.2018;TUNCER KEVIN KEI, DE;TUNCER KEVIN KEI, DE; [DE] VERTEILTE BLOCKCHAIN MIT VERZÖGERTER TRANSAKTION  [EN] DISTRIBUTED BLOCKCHAIN WITH DELAYED TRANSACTION  [FR] CHAÎNE DE BLOCS RÉPARTIE AVEC TRANSACTION RETARDÉE; [EN]  A method for delaying a transaction to a recipient in a blockchain network may be provided. The blockchain network comprises a plurality of nodes for managing a distributed ledger for a crypto-currency. The method comprises also receiving a token and a time period value. The token represents an asset value transferrable from a sender identifiable by a sender identifier to the recipient identifiable by a receiver identifier. The method comprises additionally confirming a related asset value transfer by appending information about the asset value transfer as transaction information to a block in the blockchain network, denying the recipient's access to the transferred asset value by the recipient until the time period expires, and upon receiving a stop message within the time period defined by the time period value, permanently denying the recipient's access to the transferred asset value by the recipient. ;EP;Europa;A;DE;Deutschland
168;EP000003584654B1;19.06.2018;"HÖFIG KAI, DE; KLEIN CORNEL, DE; ROTHFELDER MARTIN, DE; STURM MONIKA, AT; ZAHORCAK VLADIMIR, SK";SIEMENS AG, DE; [DE] HIERARCHISCHER VERTEILTER LEDGER  [EN] HIERARCHICAL DISTRIBUTED LEDGER  [FR] REGISTRE RÉPARTI HIÉRARCHIQUE;;EP;Europa;B;DE;Deutschland
169;EP000003582194A1;10.09.2018;"CUI HUA, CN; YANG YUSEN, CN";HEPU TECH DEVELOPMENT BEIJING CO LTD, CN; [DE] INTELLIGENTES WASSERZÄHLER-SYSTEM MIT EINER BLOCKCHAIN LIGHT WALLET  [EN] INTELLIGENT WATER METER SYSTEM WITH A BLOCKCHAIN LIGHT WALLET  [FR] SYSTÈME DE COMPTEUR D&rsquo;EAU INTELLIGENT AYANT UN ...;EP;Europa;A;CN;China
170;EP000003582168A1;14.06.2019;"EDWARDS JOSHUA, US; MOSSOBA MICHAEL, US";CAPITAL ONE SERVICES LLC, US; [DE] HALBPRIVATE VIRTUELLE BLOCKKETTENWÄHRUNGSWECHSELSYSTEME  [EN] SEMI-PRIVATE BLOCKCHAIN VIRTUAL CURRENCY EXCHANGE SYSTEMS  [FR] SYSTÈMES SEMI-PRIVÉS D'ÉCHANGE DE DEVISE VIRTUELLE À CHAÎNES DE BLOCS; [EN]  A first merchant node on a semi-private blockchain virtual currency exchange system is exclusively capable of creating first virtual currency units. Unaffiliated merchant node(s) are exclusively capable of creating other merchant-specific virtual currency units in the system, while customer computing devices are incapable of creating virtual currency units. The first merchant node creates and issues first virtual currency units to a first customer account associated with a first customer computing device. Upon receiving a transaction request for exchanging first virtual currency unit(s) for a second currency type between the first customer account and another customer account, the first merchant node validates the first transaction request, and creates and sends a first transaction receipt to unaffiliated merchant node(s). Upon receiving a redemption request from a customer account, the first merchant node validates the first redemption request, and creates and sends a first redemption ...;EP;Europa;A;US;USA
171;EP000003582161A1;14.06.2018;PANZAVOLTA MATTEO, CH;ACATENA AG, CH; [DE] VERFAHREN, SYSTEM UND COMPUTERPROGRAMMPRODUKT ZUR VERFOLGUNG EINER BEGRENZTEN ANZAHL VON IN VOLUMENEINHEITEN INDIVIDUALISIERTEN FLÜSSIGKEITSVOLUMEN  [EN] METHOD, SYSTEM AND COMPUTER PROGRAMM PRODUCT ...; [EN]  The invention relates to a method, a system, a container and a computer program product concerned with tracking a finite amount of liquid volume which is individualized into volume units. Each volume unit (Vu) comprises a define subset of volume from the finite amount of liquid volume (V). The liquid volume (V) is moved as volume units (Vu) and/or volume unit batch along a series of blocks in a network. The method comprises the steps of generating an identification representative of the specific liquid volume upon generation of that volume, storing that identification on a wirelessly readable communication unit applied on a single volume unit and/or single volume unit batch of the liquid volume, reading that identification by means of at least one first data acquisition unit upon movement of the single volume unit into a specific block in the network and enriching the identification with a specific block identification to form a first block identification and storing that first ...;EP;Europa;A;CH;Schweiz
172;EP000003581892A1;10.09.2018;"CUI HUA, CN; YANG YUSEN, CN";HEPU TECH DEVELOPMENT BEIJING CO LTD, CN; [DE] INTELLIGENTES GASZÄHLERSYSTEM MIT LIGHT WALLET  [EN] INTELLIGENT GAS METER SYSTEM WITH LIGHT WALLET  [FR] SYSTÈME DE COMPTEUR DE GAZ INTELLIGENT AVEC UN LIGHT WALLET; [EN]  The present invention discloses an intelligent gas meter system with a light wallet, comprising a CPU for processing and operating data in the intelligent gas meter and controlling data exchange, a flow metering and control module for controlling a gas supply of an individual pipe and metering the supplied gas amount, a blockchain light wallet module for performing data interaction with the CPU and an external committer, and a communication module for implementing the data transmission among the CPU, the flow metering and control module and the blockchain light wallet module, and the data transmission in the blockchain network. The present invention records gas transactions related to this gas meter by providing a blockchain light wallet module, and combines with a committer in a blockchain network, such that the final gas amount information and gas transaction information are stored in the blockchain network in a distributive and tamper-proofing manner. ;EP;Europa;A;CN;China
173;EP000003579494B1;08.06.2018;VOTTA FRANCESCO, DE;DEUTSCHE TELEKOM AG, DE; [DE] BLOCKCHAIN-BASIERTES ROAMING  [EN] BLOCKCHAIN BASED ROAMING  [FR] ITINÉRANCE À BASE DE CHAÎNE DE BLOCS;;EP;Europa;B;DE;Deutschland
174;EP000003570550A1;14.05.2019;"BURG BERNARD, US; MULYE ABHIJEET VIJAY, US";COMCAST CABLE COMM LLC, US; [DE] SYSTEME UND VERFAHREN ZUR ÜBERWACHUNG DES KONSUMS VON INHALTEN  [EN] SYSTEMS AND METHODS FOR MONITORING CONTENT CONSUMPTION  [FR] SYSTÈMES ET PROCÉDÉS DE SURVEILLANCE DE CONSOMMATION DE CONTENU; [EN]  Systems and methods are described for monitoring content consumption. A method may comprise determining, by a device, content accessed by one or more user devices. The method may comprise causing a distributed ledger record to be generated. The distributed ledger record may comprise an indication of the content. The distributed ledger record may be stored on a distributed ledger. The distributed ledger may comprise other records indicating content accessed by a plurality of other devices. ;EP;Europa;A;US;USA
175;EP000003570245A1;15.05.2019;"LIBERMAN STANISLAV, US; PIERCE RYAN DAVID, US";CHICAGO MERCANTILE EXCHANGE INC, US; [DE] SICHERE DETERMINISTISCHE TOKEN ZUR VERSCHLÜSSELUNG VON ELEKTRONISCHEN KOMMUNIKATIONEN  [EN] SECURE DETERMINISTIC TOKENS FOR ENCRYPTING ELECTRONIC COMMUNICATIONS  [FR] JETONS DÉTERMINISTES SÉCURISÉS ...;" [EN]  A computer implemented method includes generating, by a processor associated with a first client computer, a request message; generating, by the processor, a first public token based on a first private token; augmenting, by the processor, the electronic data transaction request message with the first public token; transmitting, by the processor, the augmented electronic data transaction request message to a second client computer; generating, by the processor, a second public token based on the first public token; identifying, by the processor, from a database of result messages, a result message labeled with the second public token, the identified result message including encrypted confidential information; generating, by the processor, a second private token corresponding to the second public token used to identify the result message; and decrypting, by the processor, the encrypted confidential information with the second private token. ";EP;Europa;A;US;USA
176;EP000003570244A1;20.05.2019;"PHILLIPS JEREMY, US; TRAN KURRY, US";CAPITAL ONE SERVICES LLC, US; [DE] SICHERES SYSTEM  [EN] A SECURE SYSTEM  [FR] SYSTÈME SÉCURISÉ; [EN]  A device may receive application questions for an individual applying for credit with an organization. The device may broadcast the application questions to additional devices that have access to a distributed ledger for sharing credit worthiness information to cause at least one of the additional devices to generate an application response to the application questions and to process the application response using a smart contract. The device may receive one or more application responses that have been encrypted. Each of the application responses may include particular credit worthiness information relating to the individual. The device may decrypt the application responses. The device may determine a credit worthiness score for the individual using the application responses. The device may perform one or more actions that allow the device or another device associated with the organization to use the credit worthiness score to determine whether to approve the individual for credit. ;EP;Europa;A;US;USA
177;EP000003567795A1;07.05.2019;"BARAKAT HORACIO, US; GARAHAN JOHN, US; MAYADAS VIJAY, US; NASHIKKAR HRISHIKESH, IN; SESHAGIRI KISHORE, IN";BROADRIDGE FINANCIAL SOLUTIONS INC, US; [DE] COMPUTERNETZWERKSYSTEME ZUR VERWALTUNG KRYPTOGRAFISCH GESICHERTER, TOKENBASIERTER ERSATZVERWALTUNG UND VERFAHREN ZUR VERWENDUNG DAVON  [EN] COMPUTER NETWORK SYSTEMS ADMINISTERING CRYPTOGRAPHICALLY-SECURED, ...;" [EN]  A present disclosure provides an exemplary system that includes at least: a distributed blockchain environment, including: a plurality of externally owned presence (EOP) member nodes associated with a plurality of distinct entities, a cryptographically-secured distributed ledger; a plurality of electronic wallets (e-Wallets), configured to hold records of distributed leger collateral (DLC) tokens; a plurality of self-contained self-executing software containers (SESCs), including: first-type SESCs, second-type SESCs, and third-type SESCs; where the DLC tokens are used by the distributed blockchain environment; where the first-type SESCs, the second-type SESCs, and the third-type SESCs are distinct SESCs; where each DLC token include at least one unique entity-identifying cryptographic hash; where, for each respective transaction associated with a respective EOP member node, a respective computer invokes the first-type SESCs and the third-type SESCs to cryptographically administer ...";EP;Europa;A;US;USA
178;EP000003564884A1;13.03.2019;KLAEDTKE FELIX, DE;NEC LABORATORIES EUROPE GMBH, DE; [DE] VERFAHREN UND SYSTEM ZUR ÜBERPRÜFUNG DER RICHTLINIENKONFORMITÄT VON TRANSAKTIONEN IN EINER BLOCKKETTE ZUR AUSFÜHRUNG VON INTELLIGENTEN VERTRÄGEN  [EN] METHOD AND SYSTEM FOR VERIFYING POLICY COMPLIANCE ...; [EN]  A method for enforcing policy compliance of a smart contract in a blockchain network includes a blockchain node receiving a transaction and a transaction policy associated with the transaction, where the transaction includes the smart contract and a first state. The blockchain also determines a second state of the transaction based upon executing the transaction according to the smart contract and the first state, and determines whether the transaction complies with the transaction policy. If the transaction complies with the transaction policy, the second state is incorporated by the blockchain node into a new block of blockchain of the blockchain network. If the transaction does not comply with the transaction policy, the first state is incorporated by the blockchain node into the new block. ;EP;Europa;A;DE;Deutschland
